concept,organization,country,year,area_ha_min,area_ha_max,crown_cover_min,crown_cover_max,height_m_min,height_m_max,width_m_min,width_m_max,definition_snippet
"basic terms, forest/forest land, international, land use",UN-EP-GRID,,,,,30.0,,,,,,"Forest is defined as >30% crown cover and the tree height shall be >7 m. Seedlings under forest are also included in this class. Areas occupied by forest and woodlands with a vegetation pattern composed of native or exotic coniferous trees, and which can be used for the production of timber or other"
"basic terms, forest/forest land, international, land use",UN-FAO,,2001,0.5,,10.0,,5.0,,,,Forest includes natural forests and forest plantations. The term is used to refer to land with a tree canopy cover of more than 10 percent and area of more than 0.5 ha. Forests are determined both by the presence of trees and the absence of other predominant land uses. The trees should be able to re
"basic terms, forest/forest land, international, land use",UN-FAO,,2001,0.5,,10.0,,5.0,,,,"Forests are lands of more than 0.5 hectares, with a tree canopy cover of more than 10 per cent, which are not primarily under agricultural or urban land use. Explanatory note: Forests are determined both by the presence of trees and the absence of other predominant land uses. The trees should be abl"
"basic terms, forest/forest land, international, land use",UN-FAO,,2004,0.5,,10.0,,5.0,,,,"Land spanning more than 0.5 hectares with trees higher than 5 meters and a canopy cover of more than 10 percent, or trees able to reach these thresholds in situ. It does not include land that is predominantly under agricultural or urban land use. Explanatory notes: 1. Forest is determined both by th"
"basic terms, forest/forest land, international, land use",UN-FAO,,2005,,,,,5.0,,,,Forest land is land not classified as mainly “agricultural land” and is land with crown cover of more than 10 percent of trees able to reach a mature height of 5 metres or more. It includes natural and plantation forests. Areas that are temporarily not under trees but are expected to revert to fores
"basic terms, forest/forest land, international, land use",UN-FAO,,2006,0.5,,,,,,,,from the Global Forest Resources Assessment 2005): An area of land: that is more than 0.5 hectares in size; which has trees that are more than five metres in height; and which has a canopy cover of more than 10 per cent. It includes an area of land which has trees that have the potential to meet the
"basic terms, forest/forest land, international, land use",UN-FAO,,2006,0.5,,10.0,,5.0,,,,"Land spanning more than 0.5 hectares with trees higher than 5 metres and a canopy cover of more than 10 percent, or trees able to reach these thresholds in situ. It does not include land that is predominantly under agriculture or urban use. Explanatory note: Forest is determined both by the presence"
"basic terms, forest/forest land, international, land use",UN-FAO,,2010,0.5,,10.0,,5.0,,,,"Forest Land spanning more than 0.5 hectares with trees higher than 5 meters and a canopy cover of more than 10 percent, or trees able to reach these thresholds in situ. It does not include land that is predominantly under agricultural or urban land use. Explanatory notes 1. Forest is determined both"
"basic terms, forest/forest land, international, land use",UN-FAO Kotka III,,1996,0.5,,10.0,,5.0,,,,Land under natural or planted stands of trees with tree crown cover (or equivalent stocking level) of more than 10 percent and area of more than 0.5 ha. whose primary use is forestry. The trees should be able to reach a minimum height of 5 m at maturity in situ. Includes: closed forest formations wh
"basic terms, forest/forest land, international, land use",UN-FAO,,2013,0.5,,,,,,,,"Land spanning more than 0.5 hectares with trees higher than 5 meters and a canopy cover of more than 10 percent, or trees able to reach these thresholds in situ. It does not include land that is predominantly under agricultural or urban land use. (Note – there are 9 explanatory notes with the defini"
"basic terms, forest/forest land, international, land use",UN-FAO-FRA,,1990,0.5,,,,7.0,,,,Developed Countries) Land with tree crown cover of more than 20 % of the area. Trees should be able to grow to a height of 7 m. Included are: 1. The area with young trees or coppice able to form forest in the future. 2. The area temporarily unstocked due to regeneration or damage. Minimum area outsi
"basic terms, forest/forest land, international, land use",UN-FAO-FRA  and UNSD,,2000,0.5,,10.0,,5.0,,,,Land with tree crown cover (or equivalent stocking level) of more than 10 percent and area of more than 0.5 ha. The trees should be able to reach a minimum height of 5 m at maturity in situ. May consist either of closed forest formations where trees of various storeys and undergrowth cover a high po
"basic terms, forest/forest land, international, land use",UN-FAO-FRA,,2003,0.5,,10.0,,5.0,,,,"Land under forestry or no land use, spanning more than 0.5 hectares; with trees higher than 5 meters and a canopy cover of more than 10 percent, or trees able to reach these thresholds in situ. NOTE: Forests are determined both by the presence of trees and the absence of other predominant land uses."
"basic terms, forest/forest land, international, land use",UN-FAO-FRA  Proposed,,2010,0.5,,,,5.0,,,,"Land with tree canopy cover of more than 10 percent and area of more than 0.5 hectares. Trees should be able to reach a minimum height of 5m at maturity in situ. Source: Brad Smith, USFS. May 2002"
"basic terms, forest/forest land, international, land use",UN-FCCC,,2001,0.05,1.0,10.0,30.0,2.0,5.0,,,“Forest” is a minimum area of land of 0.05-1.0 hectares with tree crown cover (or equivalent stocking level) of more than 10-30 per cent with trees with the potential to reach a minimum height of 2-5 metres at maturity in situ. A forest may consist either of closed forest formations where trees of v
"basic terms, forest/forest land, international, land use",UN-FCCC,,,,,10.0,,2.0,,,,Forests are defined under the United Nations Framework Convention on Climate Change (UNFCCC) as woody vegetation of at least 2 m in height and 10 per cent canopy cover
"basic terms, forest/forest land, national","GOFC-GOLD,",,2009,0.5,,100.0,,5.0,,,,"According to definitions of forest are myriad, however, common to most definitions are threshold parameters including minimum area, minimum height and minimum level of crown cover. In its forest resource assessment of 2005, the FAO uses a minimum cover of 10%, height of 5m and area of 0.5 ha stating"
"basic terms, forest/forest land, national, declared",Czech Republic,,,0.01,,,,,,,,"Forest stand with its environment and land designated for the fulfilment of forest functions. Forest stand means tree and shrub which, in their environment, fulfil forest functions. No area limit, classification into forest and non-forest according to the cadastre; the limit of 0.01 ha applied in th"
"basic terms, forest/forest land, national, declared",,Denmark,,0.5,,,,,,,,the basic definition of a forest is that the forest area must be minimum 0.5 ha. There is no specific guideline on the crown cover or the height of the trees
"basic terms, forest/forest land, national, declared",,Georgia,1999,0.1,,,,,,,,"State Forest Fund (SFF): The integrity of state forest, land and other resources defined as SFF by the Georgian legislation (Forest Code of Georgia, 1999). Includes the land categories listed below: Forest: Part of geographic landscape, which includes the unity of trees (defined by the Georgian legi"
"basic terms, forest/forest land, national, declared",Kosovo,,2003,0.1,,,,,,,,"""Forest"" is land registered as such in the cadastral records. ""Forestland"" is land that is being managed for the production of wood or other forest products or whose best use, given its natural characteristics and economic conditions, involves the growing of trees. . ""Forestland"" does not include --"
"basic terms, forest/forest land, national, declared",,Slovakia,,0.01,,,,,,,,"Forest includes forest stands with its environment and other areas designated for the fulfillment of forest functions. Forest stand means tree and shrub species which, in their environment, fulfill forest functions. No area limit, classification into forest and non-forest according to the cadastre; "
"basic terms, forest/forest land, national, declared",,Slovenia,1993,0.05,,,,,,,,"The term “forest” is defined also by the Law on Forests of Slovenia (Official Journal of the Republic of Slovenia, nr. 30/1993). Article two states: .... “A forest is an area of land, covered with forest trees in the form of stands or other forest growths which provide any of the functions of a fore"
